Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1648.8233318008508,OUT049
FDW14,1363.8722837806852,OUT017
NCN55,573.1460108430683,OUT010
FDQ58,2468.6648608408036,OUT017
FDY38,5849.545916436489,OUT027
FDH56,1939.4998717687192,OUT046
FDL48,767.952339912432,OUT018
FDC48,2133.0764272760557,OUT027
FDN33,1527.8516769590344,OUT045
FDA36,3099.7470799915664,OUT017
FDT44,1935.4473553441387,OUT017
FDQ56,1362.412843699877,OUT045
NCC54,573.7175353142627,OUT019
FDU11,2013.3578015245737,OUT049
DRL59,869.5231848005143,OUT013
FDM24,2461.9330752328287,OUT049
FDI57,3065.8817428032726,OUT045
DRC12,2962.9635400976344,OUT018
NCM42,2916.171417452798,OUT027
FDA46,510.8827226223586,OUT010
FDA31,2846.8979297263604,OUT013
NCJ31,3863.7966677764734,OUT035
FDG52,783.4834723678437,OUT046
NCL19,288.85180497789446,OUT019
FDS10,2985.2250456130064,OUT035
FDX22,565.7225172341111,OUT010
NCF19,757.8658232288902,OUT035
NCE06,2548.7310834423124,OUT046
DRC27,3877.1846661628165,OUT046
FDE21,1960.1096318965908,OUT035
NCR42,131.10432094976147,OUT019
FDX51,3003.376714113609,OUT018
NCR06,615.0546518160759,OUT018
FDU31,5851.120655976366,OUT027
FDU59,2540.930048663866,OUT017
FDR03,5852.890644989106,OUT027
FDS49,2021.2294155774202,OUT027
FDD48,268.39089158981943,OUT010
NCF18,3010.4863214217635,OUT017
NCD43,2859.8862257137876,OUT027
NCD54,2139.3859884499184,OUT018
FDY19,269.14175699719283,OUT010
NCY54,2860.4438198975718,OUT017
NCL19,2440.2915434975944,OUT018
FDP23,570.3002477904238,OUT010
FDC26,1738.1019408872928,OUT013
FDR14,131.29687158007224,OUT010
NCS41,3104.208198326967,OUT035
FDF41,3869.7154228908043,OUT035
FDU34,2043.4814492288049,OUT046
DRH11,947.1928680439468,OUT046
FDM03,1646.890816165446,OUT013
FDS31,3058.3673926413044,OUT017
FDJ20,1993.5982298633044,OUT017
FDV44,5132.5330175831,OUT027
FDG02,3109.3158270658405,OUT049
FDA09,3001.7653782130433,OUT013
FDT04,701.7989251588212,OUT013
FDL58,572.0211204385417,OUT019
FDE52,1380.3070664922477,OUT045
FDW12,2490.064376253566,OUT035
FDL51,3669.079761370592,OUT017
NCY42,3042.377293219589,OUT027
FDR07,1554.275303964666,OUT017
FDN40,2473.3450705564287,OUT045
FDB35,2681.3334040841028,OUT027
FDA22,2530.3524973553344,OUT017
NCL06,4162.8342487914815,OUT046
